ID,MS,NMSP,VE
10607,0.563584906,49.83150943,6.403773585
10608,0.602411348,49.30312057,5.209219858
10609,0.517083333,29.39011905,3.782142857
10610,0.601348315,53.34168539,6.21011236
10611,0.58509434,63.27345912,6.563522013
10612,0.481351351,57.46405405,7.928378378
10613,0.569761905,85.78559524,9.727380952
10614,0.481702128,49.84468085,7.491489362
10615,0.573454545,43.21145455,5.629090909
10616,0.375,29.65065217,6.57173913
10617,0.516444444,49.21977778,5.504444444
10618,0.574776119,62.9041791,7.294029851
10619,0.485272727,39.89363636,6.569090909
10620,0.5204,50.4496,6.248
10621,0.566046512,41.62255814,4.565116279
10622,0.57,38.49487805,5.565853659
10623,0.55675,60.72575,7.92
10624,0.578606557,50.79385246,6.091803279
10625,0.5696,41.92586667,5.586666667
10626,0.55443038,56.80455696,7.197468354
10627,0.503863636,25.71329545,7.6625
10628,0.588214286,50.9702381,7.007142857
10629,0.544,46.47117647,6.283529412
10630,0.34375,30.73583333,6.020833333
10631,0.554117647,41.66323529,6.160294118
10632,0.578507463,33.05268657,4.250746269
10633,0.586393443,52.58311475,6.083606557
10634,0.584390244,47.14634146,4.851219512
10635,0.502786885,43.24622951,6.296721311
10636,0.570793651,47.20698413,5.271428571
10637,0.566666667,46.00651515,5.504545455
10638,0.535609756,44.72682927,6.870731707
10639,0.575,65.19736842,7.252631579
10640,0.477843137,19.71980392,5.588235294
10641,0.414912281,34.85149123,6.56754386
10642,0.537575758,43.66666667,6.106060606
10643,0.555344828,33.06448276,6.493965517
10644,0.610897436,40.64153846,5.126923077
10645,0.584479167,49.3990625,5.951041667
10646,0.616521739,52.03695652,6.004347826
10648,0.61828,56.46156627,7.01
10649,0.617888563,51.03231672,5.609970674
10650,0.573432836,36.54029851,5.210447761
10651,0.387428571,30.1667619,5.564761905
10652,0.438333333,27.83,4.7
10653,0.594583333,43.39333333,4.044791667
10654,0.572448378,58.77752212,7.679351032
10655,0.625360825,38.77149485,5.267010309
10656,0.592761394,45.94450402,5.519302949
10657,0.559285714,39.79214286,4.135714286
10658,0.567105263,33.05894737,4.322368421
10659,0.5675,33.990625,4.98125
10730,0.640322581,25.51354839,2.651612903
10731,0.612587413,50.51825175,5.811888112
10733,0.623611111,51.80972222,6.181944444
10734,0.620675676,69.71478378,7.533513514
10735,0.577777778,45.46587302,5.675396825
10736,0.611824324,45.62864865,5.052027027
10737,0.613846154,78.40907692,9.010769231
10738,0.687164179,62.15964179,6.169253731
10739,0.616206897,53.28255172,6.105517241
10740,0.638571429,41.51771429,6.423809524
10741,0.654807692,55.94608974,9.076282051
10742,0.682846715,48.9929927,6.114963504
10744,0.649748744,57.48909548,7.246733668
10745,0.653157895,53.13880702,7.552631579
10746,0.684834123,96.82445498,7.589099526
10747,0.597391304,40.79643478,4.895217391
10748,0.664285714,72.65057143,7.928571429
10749,0.591860465,54.9227907,5.834883721
10750,0.616071429,64.35321429,5.710714286
10751,0.580555556,58.42333333,5.708333333
10752,0.619230769,52.01730769,5.826923077
10753,0.607377049,45.77622951,5.759016393
10754,0.605970149,53.36731343,6.107462687
10755,0.61122449,42.15857143,4.759183673
10756,0.629268293,58.94146341,6.846341463
10757,0.622881356,67.52949153,6.861016949
10758,0.606818182,28.54363636,3.377272727
10759,0.59625,38.24375,4.585
10760,0.624418605,54.3855814,7.339534884
